idx,sample_id,y_true,y_pred,true_label,pred_label,confidence,correct
498,GTEX-RVPU-0008-SM-3NM8B,2,2,Normal Tissue,Normal Tissue,0.6255372166633606,True
675,GTEX-ZAJG-0126-SM-5HL94,2,2,Normal Tissue,Normal Tissue,0.9965053796768188,True
779,GTEX-13VXU-0626-SM-5L3F9,2,2,Normal Tissue,Normal Tissue,0.9883497953414917,True
1102,GTEX-PSDG-0008-SM-48TE5,2,2,Normal Tissue,Normal Tissue,0.9558249115943909,True
668,GTEX-ZE9C-2526-SM-5IJDR,2,2,Normal Tissue,Normal Tissue,0.9871719479560852,True
234,GTEX-X5EB-0008-SM-46MU3,2,2,Normal Tissue,Normal Tissue,0.9752649664878845,True
366,GTEX-WEY5-0008-SM-4LMKC,2,2,Normal Tissue,Normal Tissue,0.984616219997406,True
66,GTEX-Z93S-0008-SM-4RGM5,2,2,Normal Tissue,Normal Tissue,0.8233229517936707,True
999,GTEX-12WSB-2926-SM-59HKL,2,2,Normal Tissue,Normal Tissue,0.9357927441596985,True
1013,TCGA-D3-A8GR-06,1,1,Metastasis,Metastasis,0.90303635597229,True
315,GTEX-WFG7-0008-SM-4LMKB,2,2,Normal Tissue,Normal Tissue,0.9938232898712158,True
578,TCGA-EB-A1NK-01,0,0,Primary Tumor,Primary Tumor,0.7426143288612366,True
299,GTEX-UJMC-0008-SM-4IHKK,2,2,Normal Tissue,Normal Tissue,0.9645929932594299,True
357,GTEX-Y5LM-1926-SM-5RQJH,2,2,Normal Tissue,Normal Tissue,0.9948410391807556,True
1092,GTEX-1399S-0126-SM-5IJCF,2,2,Normal Tissue,Normal Tissue,0.9812896847724915,True
541,GTEX-Y9LG-0008-SM-4VBRJ,2,2,Normal Tissue,Normal Tissue,0.42967134714126587,True
189,GTEX-T5JC-0426-SM-32PLO,2,2,Normal Tissue,Normal Tissue,0.9957494735717773,True
633,GTEX-XK95-0226-SM-4AT58,2,2,Normal Tissue,Normal Tissue,0.9723296761512756,True
68,GTEX-XUW1-0926-SM-4BONX,2,2,Normal Tissue,Normal Tissue,0.965613067150116,True
812,TCGA-EE-A29B-06,1,1,Metastasis,Metastasis,0.8641815185546875,True
1168,GTEX-X62O-0126-SM-4E3JN,2,2,Normal Tissue,Normal Tissue,0.9798591136932373,True
1113,TCGA-YG-AA3P-06,1,1,Metastasis,Metastasis,0.8865823149681091,True
24,GTEX-T6MO-1626-SM-32QOM,2,2,Normal Tissue,Normal Tissue,0.9974343180656433,True
939,GTEX-YECK-0326-SM-4W1YS,2,2,Normal Tissue,Normal Tissue,0.9243538975715637,True
0,GTEX-ZF29-0926-SM-4WKFZ,2,2,Normal Tissue,Normal Tissue,0.9815734028816223,True
395,TCGA-D3-A2JN-06,1,1,Metastasis,Metastasis,0.8749395608901978,True
853,TCGA-ER-A19N-06,1,1,Metastasis,Metastasis,0.5913504958152771,True
126,TCGA-GN-A262-06,1,1,Metastasis,Metastasis,0.8782699108123779,True
609,GTEX-ZXG5-2126-SM-59HKD,2,2,Normal Tissue,Normal Tissue,0.9865714907646179,True
968,GTEX-RTLS-0008-SM-48FET,2,2,Normal Tissue,Normal Tissue,0.9422701597213745,True
232,GTEX-111VG-0008-SM-5Q5BG,2,2,Normal Tissue,Normal Tissue,0.9879702925682068,True
705,GTEX-145LS-0126-SM-5QGP1,2,2,Normal Tissue,Normal Tissue,0.9912269711494446,True
917,GTEX-XQ8I-0926-SM-4BOOF,2,2,Normal Tissue,Normal Tissue,0.9890710115432739,True
778,GTEX-OHPM-0008-SM-4E3IP,2,2,Normal Tissue,Normal Tissue,0.5171627402305603,True
460,GTEX-ZWKS-0626-SM-5GIDV,2,2,Normal Tissue,Normal Tissue,0.9676735401153564,True
740,TCGA-D3-A5GN-06,1,1,Metastasis,Metastasis,0.9819477796554565,True
626,GTEX-11NUK-2726-SM-5A5MC,2,2,Normal Tissue,Normal Tissue,0.9788762331008911,True
422,GTEX-ZU9S-1826-SM-5NQ9E,2,2,Normal Tissue,Normal Tissue,0.9495647549629211,True
1278,TCGA-EE-A29L-06,1,1,Metastasis,Metastasis,0.7980677485466003,True
711,TCGA-D9-A6EG-06,1,1,Metastasis,Metastasis,0.7664937973022461,True
1209,TCGA-WE-AAA0-06,1,1,Metastasis,Metastasis,0.9400433301925659,True
242,GTEX-Z93S-1626-SM-5CVMB,2,2,Normal Tissue,Normal Tissue,0.9644612073898315,True
784,GTEX-ZE7O-0126-SM-57WC1,2,2,Normal Tissue,Normal Tissue,0.9794897437095642,True
1085,TCGA-D9-A148-06,1,1,Metastasis,Metastasis,0.87408447265625,True
425,GTEX-133LE-2326-SM-5K7W3,2,2,Normal Tissue,Normal Tissue,0.9844054579734802,True
762,TCGA-ER-A2NG-06,1,1,Metastasis,Metastasis,0.5842997431755066,True
715,GTEX-R55F-0008-SM-48FE6,2,2,Normal Tissue,Normal Tissue,0.45540207624435425,True
854,TCGA-BF-A5EP-01,0,1,Primary Tumor,Metastasis,0.7147044539451599,False
1199,GTEX-ZY6K-1826-SM-5GZXK,2,2,Normal Tissue,Normal Tissue,0.9265748262405396,True
630,TCGA-WE-A8ZN-06,1,1,Metastasis,Metastasis,0.9133632183074951,True
272,GTEX-Y8E4-0008-SM-4V6FW,2,2,Normal Tissue,Normal Tissue,0.8292855620384216,True
958,GTEX-147F4-0226-SM-5QGPW,2,2,Normal Tissue,Normal Tissue,0.9974295496940613,True
1193,GTEX-ZPIC-0008-SM-4E3JF,2,2,Normal Tissue,Normal Tissue,0.9056761264801025,True
800,GTEX-11EQ9-2426-SM-5HL5T,2,2,Normal Tissue,Normal Tissue,0.9892577528953552,True
100,GTEX-T5JW-0008-SM-4DM5X,2,2,Normal Tissue,Normal Tissue,0.9807854294776917,True
303,TCGA-D3-A3MR-06,1,1,Metastasis,Metastasis,0.9829592704772949,True
535,GTEX-139T4-0008-SM-5S2WF,2,1,Normal Tissue,Metastasis,0.4123380184173584,False
669,GTEX-11ZUS-2626-SM-5FQUR,2,2,Normal Tissue,Normal Tissue,0.9821734428405762,True
414,TCGA-WE-AA9Y-06,1,1,Metastasis,Metastasis,0.9307536482810974,True
791,GTEX-TMZS-0126-SM-3DB9Q,2,2,Normal Tissue,Normal Tissue,0.9972010850906372,True
924,TCGA-GN-A264-06,1,1,Metastasis,Metastasis,0.6307932734489441,True
1234,GTEX-11H98-0126-SM-5EGHG,2,2,Normal Tissue,Normal Tissue,0.9694663286209106,True
959,TCGA-EB-A57M-01,0,0,Primary Tumor,Primary Tumor,0.5216264724731445,True
11,TCGA-EB-A41A-01,0,0,Primary Tumor,Primary Tumor,0.883481502532959,True
261,GTEX-W5WG-0008-SM-4KL25,2,2,Normal Tissue,Normal Tissue,0.986856997013092,True
1217,GTEX-ZE9C-2726-SM-57WB5,2,2,Normal Tissue,Normal Tissue,0.8176026344299316,True
271,GTEX-131XH-2226-SM-5DUXJ,2,2,Normal Tissue,Normal Tissue,0.9783745408058167,True
91,TCGA-D3-A8GQ-06,1,1,Metastasis,Metastasis,0.8988354206085205,True
98,TCGA-FW-A3TU-06,1,1,Metastasis,Metastasis,0.9743379354476929,True
605,TCGA-EB-A51B-01,0,0,Primary Tumor,Primary Tumor,0.7533101439476013,True
204,GTEX-WH7G-0008-SM-4LVNM,2,2,Normal Tissue,Normal Tissue,0.8730549812316895,True
218,GTEX-13CF3-2426-SM-5IFGX,2,2,Normal Tissue,Normal Tissue,0.986041247844696,True
64,GTEX-QVJO-0008-SM-447AU,2,2,Normal Tissue,Normal Tissue,0.8987858295440674,True
6,TCGA-FS-A1ZA-06,1,1,Metastasis,Metastasis,0.642497718334198,True
171,TCGA-DA-A1IC-06,1,0,Metastasis,Primary Tumor,0.6401894688606262,False
1031,GTEX-X3Y1-0008-SM-4PR12,2,2,Normal Tissue,Normal Tissue,0.9827142357826233,True
121,TCGA-RP-A695-06,1,1,Metastasis,Metastasis,0.9431374669075012,True
167,TCGA-FR-A3YO-06,1,1,Metastasis,Metastasis,0.9069908857345581,True
635,GTEX-X4EP-0626-SM-3P621,2,2,Normal Tissue,Normal Tissue,0.9212432503700256,True
893,TCGA-ER-A19O-06,1,1,Metastasis,Metastasis,0.9435498118400574,True
1125,TCGA-D3-A3CC-06,1,0,Metastasis,Primary Tumor,0.7847643494606018,False
1249,GTEX-ZVP2-0326-SM-57WBP,2,2,Normal Tissue,Normal Tissue,0.9920529127120972,True
788,GTEX-ZQG8-0008-SM-4YCE7,2,2,Normal Tissue,Normal Tissue,0.9691594243049622,True
463,GTEX-WFON-1926-SM-3LK7L,2,2,Normal Tissue,Normal Tissue,0.9777274131774902,True
710,TCGA-EB-A97M-01,0,1,Primary Tumor,Metastasis,0.9475154280662537,False
160,GTEX-XUW1-0008-SM-4BOQH,2,2,Normal Tissue,Normal Tissue,0.9099030494689941,True
903,TCGA-ER-A197-06,1,0,Metastasis,Primary Tumor,0.5886726975440979,False
900,GTEX-WI4N-2726-SM-3LK7Y,2,2,Normal Tissue,Normal Tissue,0.9864316582679749,True
1005,GTEX-XOTO-0726-SM-4B659,2,2,Normal Tissue,Normal Tissue,0.9799314141273499,True
806,GTEX-139T8-0626-SM-5KLZX,2,2,Normal Tissue,Normal Tissue,0.9814615845680237,True
313,GTEX-12BJ1-0926-SM-5EQ62,2,2,Normal Tissue,Normal Tissue,0.9830989241600037,True
1205,TCGA-GN-A26C-01,0,1,Primary Tumor,Metastasis,0.9702410697937012,False
1063,GTEX-11DZ1-0126-SM-5985Q,2,2,Normal Tissue,Normal Tissue,0.9788084626197815,True
596,GTEX-ZDTT-0426-SM-4WKFL,2,2,Normal Tissue,Normal Tissue,0.9313867092132568,True
317,GTEX-R55D-0008-SM-48FEV,2,2,Normal Tissue,Normal Tissue,0.8113802671432495,True
894,TCGA-D9-A4Z5-01,0,1,Primary Tumor,Metastasis,0.663188636302948,False
1074,TCGA-EB-A3Y7-01,0,0,Primary Tumor,Primary Tumor,0.6568707823753357,True
1141,TCGA-EE-A2M6-06,1,1,Metastasis,Metastasis,0.9437517523765564,True
845,GTEX-1497J-0226-SM-5QGPU,2,2,Normal Tissue,Normal Tissue,0.9989830851554871,True
367,TCGA-D9-A3Z3-06,1,1,Metastasis,Metastasis,0.9844973087310791,True
1083,TCGA-BF-A3DJ-01,0,0,Primary Tumor,Primary Tumor,0.7533214688301086,True
1218,TCGA-BF-A5ES-01,0,1,Primary Tumor,Metastasis,0.8773444890975952,False
84,TCGA-EE-A184-06,1,1,Metastasis,Metastasis,0.829612672328949,True
130,GTEX-12WSJ-1126-SM-5LZVJ,2,2,Normal Tissue,Normal Tissue,0.9874572157859802,True
309,TCGA-D3-A3MV-06,1,1,Metastasis,Metastasis,0.8650505542755127,True
1084,GTEX-WWYW-0008-SM-4MVPF,2,2,Normal Tissue,Normal Tissue,0.5304385423660278,True
786,TCGA-DA-A1I2-06,1,1,Metastasis,Metastasis,0.9588454365730286,True
949,GTEX-ZVP2-0008-SM-51MSL,2,2,Normal Tissue,Normal Tissue,0.9443052411079407,True
837,GTEX-139D8-0226-SM-5KLZO,2,2,Normal Tissue,Normal Tissue,0.9739775061607361,True
868,GTEX-W5X1-2526-SM-3GILC,2,2,Normal Tissue,Normal Tissue,0.9849911332130432,True
1274,GTEX-ZYFD-0626-SM-5E44E,2,2,Normal Tissue,Normal Tissue,0.8874359130859375,True
987,GTEX-ZV7C-0926-SM-59HL1,2,2,Normal Tissue,Normal Tissue,0.8512517809867859,True
415,GTEX-X4EO-0326-SM-3P5YO,2,2,Normal Tissue,Normal Tissue,0.968070387840271,True
19,GTEX-11DXX-0008-SM-5Q5B8,2,2,Normal Tissue,Normal Tissue,0.993108868598938,True
310,TCGA-XV-AB01-06,1,1,Metastasis,Metastasis,0.96077960729599,True
1001,TCGA-EE-A20F-06,1,1,Metastasis,Metastasis,0.9471238851547241,True
107,GTEX-OOBK-0008-SM-3NB27,2,0,Normal Tissue,Primary Tumor,0.46530577540397644,False
825,GTEX-12ZZY-0226-SM-5LZVE,2,2,Normal Tissue,Normal Tissue,0.9701658487319946,True
998,TCGA-WE-A8ZM-06,1,1,Metastasis,Metastasis,0.8583269715309143,True
657,GTEX-WRHU-0008-SM-4MVPB,2,2,Normal Tissue,Normal Tissue,0.5494061708450317,True
199,TCGA-D3-A1Q7-06,1,1,Metastasis,Metastasis,0.9493985176086426,True
282,GTEX-T2YK-0008-SM-4DM6M,2,2,Normal Tissue,Normal Tissue,0.9688173532485962,True
1186,TCGA-EB-A3HV-01,0,2,Primary Tumor,Normal Tissue,0.4802703857421875,False
656,GTEX-WHSE-0008-SM-4M1ZO,2,2,Normal Tissue,Normal Tissue,0.9973971843719482,True
733,TCGA-EE-A2A6-06,1,1,Metastasis,Metastasis,0.9353200793266296,True
523,TCGA-EE-A3AG-06,1,1,Metastasis,Metastasis,0.5022614598274231,True
39,TCGA-D3-A51G-06,1,1,Metastasis,Metastasis,0.89662766456604,True
265,GTEX-VUSG-0008-SM-4KL24,2,0,Normal Tissue,Primary Tumor,0.4902316629886627,False
21,GTEX-Y8LW-1526-SM-5IFHL,2,2,Normal Tissue,Normal Tissue,0.9853919148445129,True
291,GTEX-Y3IK-1626-SM-4YCF5,2,2,Normal Tissue,Normal Tissue,0.9894961714744568,True
489,TCGA-IH-A3EA-01,0,1,Primary Tumor,Metastasis,0.8287650942802429,False
106,GTEX-12696-0126-SM-5EQ4L,2,2,Normal Tissue,Normal Tissue,0.986423909664154,True
663,GTEX-XPVG-2126-SM-4B667,2,2,Normal Tissue,Normal Tissue,0.9177623987197876,True
195,TCGA-EE-A2MS-06,1,1,Metastasis,Metastasis,0.8740952014923096,True
556,TCGA-EE-A2M8-06,1,1,Metastasis,Metastasis,0.9539361000061035,True
233,GTEX-XAJ8-1426-SM-47JYM,2,2,Normal Tissue,Normal Tissue,0.95694899559021,True
1231,GTEX-ZLV1-1526-SM-4WWBC,2,2,Normal Tissue,Normal Tissue,0.9917253255844116,True
701,GTEX-WZTO-0126-SM-3NM95,2,2,Normal Tissue,Normal Tissue,0.8321459889411926,True
122,GTEX-XUZC-0008-SM-4BOQG,2,2,Normal Tissue,Normal Tissue,0.9585878252983093,True
62,GTEX-12WSB-0126-SM-59HJN,2,2,Normal Tissue,Normal Tissue,0.9208037853240967,True
155,GTEX-ZTTD-2826-SM-4YCFA,2,2,Normal Tissue,Normal Tissue,0.9396440982818604,True
49,GTEX-WI4N-1026-SM-3LK7N,2,2,Normal Tissue,Normal Tissue,0.9790183305740356,True
1006,TCGA-YD-A9TA-06,1,1,Metastasis,Metastasis,0.9734470844268799,True
1173,TCGA-FS-A4FB-06,1,1,Metastasis,Metastasis,0.5198705792427063,True
823,TCGA-D3-A51R-06,1,1,Metastasis,Metastasis,0.7970466017723083,True
641,GTEX-TML8-1926-SM-32QOS,2,2,Normal Tissue,Normal Tissue,0.9926079511642456,True
1203,TCGA-FS-A1ZQ-06,1,1,Metastasis,Metastasis,0.6667231321334839,True
1050,TCGA-FS-A1ZY-06,1,1,Metastasis,Metastasis,0.7351446747779846,True
965,GTEX-XBEC-0726-SM-4QARZ,2,2,Normal Tissue,Normal Tissue,0.9900709986686707,True
747,GTEX-14A6H-0126-SM-5QGPK,2,2,Normal Tissue,Normal Tissue,0.9915552735328674,True
670,TCGA-D3-A8GO-06,1,1,Metastasis,Metastasis,0.9659369587898254,True
904,GTEX-11ZU8-0126-SM-5EQ58,2,2,Normal Tissue,Normal Tissue,0.9902259707450867,True
